objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,ships,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,,Código de referencia ,Título,Fecha inicial,Fecha final,Nivel de descripción,Volumen y soporte ,Nombre de los productores.,Historia institucional,Historia archivística,Forma de ingreso,Alcance y contenido,Lugares,Palabras clave,Embarcaciones,Condiciones de acceso,Lengua,Características físicas,Existencia y localización de los originales,Nombre del archivista,Normas de descripción,Fecha de la descripción
agn_sr_gym_329_686_702,agn_sr_gym_329_686_702,,,Cuadros de entradas y salidas de buques remitidas por el capitán del puerto de Sabanilla y comandante de la bahía al Ministerio de Marina.,Secretaría de Relaciones Exteriores,29/01/1821,"Cuadros de entradas y salidas de buques mercantes y de guerra de Sabanilla remitidas por el capitán del puerto de Sabanilla  y comandante de la bahía (J. Carbomo) por oden del almirante de la república de Colombia al Ministerio de Marina. Contiene información de nombres, tipos de buques, mercancías que transportan, capitanes y total de salidas de los buques con su lugar de destino.","Entradas y salidas de buques, embarcaciones, comercio.","Polacra Fenin, Balandra de guerra del Estado Correo, Goleta inglesa Juan,  Goleta inglesa Ventura, Fragata de guerra inglesa la Fema, Gloeta inglesa Percia, Bergatín Americano Elisa, Polacra tethis, Goleta inglesa Interpresa, Bergatin goleta el Boyacá,  Goleta la Favorito, Bergantín de guerra el Congreso, Goleta Paquete, Goleta inglesa Merillan, Goleta Keque, Goleta Eroe, Bergatín el Raile, Balandra Dash, Bergantín Hills Magestis, Goleta Josefa, Goleta Jamas, Goleta Unión Inglesa, Goleta el Bolador de Mucier, ","Sabanilla, Colombia",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 329, 686-702",AGN_SR_GYM_329_686_702,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_329_686_702.pdf,,,agn_sr_gym_329_686_702,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 329, 686-702",Cuadros de entradas y salidas de buques remitidas por el capitán del puerto de Sabanilla y comandante de la bahía al Ministerio de Marina.,29/01/1821,06/06/1821,Unidad documental compuesta,17 folios en pdf,Colombia. Archivo General de la Nación,,,,"Cuadros de entradas y salidas de buques mercantes y de guerra de Sabanilla remitidas por el capitán del puerto de Sabanilla  y comandante de la bahía (J. Carbomo) por oden del almirante de la república de Colombia al Ministerio de Marina. Contiene información de nombres, tipos de buques, mercancías que transportan, capitanes y total de salidas de los buques con su lugar de destino.","Sabanilla, Colombia","Entradas y salidas de buques, embarcaciones, comercio.","Polacra Fenin, Balandra de guerra del Estado Correo, Goleta inglesa Juan,  Goleta inglesa Ventura, Fragata de guerra inglesa la Fema, Gloeta inglesa Percia, Bergatín Americano Elisa, Polacra tethis, Goleta inglesa Interpresa, Bergatin goleta el Boyacá,  Goleta la Favorito, Bergantín de guerra el Congreso, Goleta Paquete, Goleta inglesa Merillan, Goleta Keque, Goleta Eroe, Bergatín el Raile, Balandra Dash, Bergantín Hills Magestis, Goleta Josefa, Goleta Jamas, Goleta Unión Inglesa, Goleta el Bolador de Mucier, ",,Español,,Archivo General de la Nación de Colombia,Meliza Pinzón,ISAG (G),06/09/23
agn_sr_gym_328_83_86,agn_sr_gym_328_83_86,,,Informaciones del Almirante Luis Brion al Ministro de Marina Pedro Briseño,Louis Brion,1820,"Carta del almirante Luis Brion al Ministro de Marina Pedro Briseño Mendez sobre las órdenes para recuperar Santa Marta y otros puertos importantes, la desobediencia de marinos ingleses, los pagos por presas hechas por corsarios y entradas de Barcos","Embarcaciones, Corsarios, Cienagas, ","Bergantín Corsario El Bolívar, Bergantín Goleta Valeroso
","Barranquilla, Colombia
Sabanilla, Colombia
Maracaibo, Venezuela
Santa Marta, Colombia
Margarita, Venezuela",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 83-86",AGN_SR_GYM_328_83_86,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_328_83_86.pdf,,,agn_sr_gym_328_83_86,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 83-86",Informaciones del Almirante Luis Brion al Ministro de Marina Pedro Briseño,1820,1820,Unidad documental simple,9 folios en pdf,Colombia. Archivo General de la Nación,,,,"Carta del almirante Luis Brion al Ministro de Marina Pedro Briseño Mendez sobre las órdenes para recuperar Santa Marta y otros puertos importantes, la desobediencia de marinos ingleses, los pagos por presas hechas por corsarios y entradas de Barcos","Barranquilla, Colombia
Sabanilla, Colombia
Maracaibo, Venezuela
Santa Marta, Colombia
Margarita, Venezuela","Embarcaciones, Corsarios, Cienagas, ","Bergantín Corsario El Bolívar, Bergantín Goleta Valeroso
",,Español,,Archivo General de la Nación de Colombia,Juan Diego Suarez,ISAG (G),29/09/2023
agn_sr_gym_377_96_107,agn_sr_gym_377_96_107,,,"Expediente de la condena del quechemarín español San Agustín, apresado por el Bergantín particular el Águila de la República de Colombia en 1825",Louis Brion,1825,"Expediente de la condena que recibió el quechemarín español San Águstín por parte del Tribunal de Marina de la República de Colombia al ser apresado por el bergatín particular el Águila. El juicio estuvo precedido del juez (comandante del segundo Departamento de Marina), escribanos y público interino, por orden del vicepresidente de la república Francisco de Paula Santander como consecuencia de la guerra entre la República de Colombia y España.                                                                                                                                                         Conceción de autoridad por parte del vicepresidente para apresar los buques españoles en alta mar y en las costas del territorio de la república.                                                                                                                               El expediente contiene el orden siguiente en la presentación de documentos: pasaporte de navegación, contraseña de moros, registro del cargamento del Quechemarín, certificación por parte del capitán, declaraciones, copia de la patente de corso otorgada al capitan del bergatín del Águila.                                       Contiene las mercancias transportadas, destinatarios y nombres de la tripulación. ","Embarcaciones, Relaciones exteriores.","Quechemarín español San Agustín, Bergantin el Águila.","Puerto Cabello, Venezuela.",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 377, 96-107",AGN_SR_GYM_377_96_107,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_377_96_107.pdf,,,agn_sr_gym_377_96_107,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 377, 96-107","Expediente de la condena del quechemarín español San Agustín, apresado por el Bergantín particular el Águila de la República de Colombia en 1825",1825,1826,Unidad documental compuesta,24 folios en pdf,Colombia. Archivo General de la Nación,,,,"Expediente de la condena que recibió el quechemarín español San Águstín por parte del Tribunal de Marina de la República de Colombia al ser apresado por el bergatín particular el Águila. El juicio estuvo precedido del juez (comandante del segundo Departamento de Marina), escribanos y público interino, por orden del vicepresidente de la república Francisco de Paula Santander como consecuencia de la guerra entre la República de Colombia y España.                                                                                                                                                         Conceción de autoridad por parte del vicepresidente para apresar los buques españoles en alta mar y en las costas del territorio de la república.                                                                                                                               El expediente contiene el orden siguiente en la presentación de documentos: pasaporte de navegación, contraseña de moros, registro del cargamento del Quechemarín, certificación por parte del capitán, declaraciones, copia de la patente de corso otorgada al capitan del bergatín del Águila.                                       Contiene las mercancias transportadas, destinatarios y nombres de la tripulación. ","Puerto Cabello, Venezuela.","Embarcaciones, Relaciones exteriores.","Quechemarín español San Agustín, Bergantin el Águila.",,Español,,Archivo General de la Nación de Colombia,Meliza Pinzón,ISAG (G),12/09/23
agn_sr_gym_377_85_95,agn_sr_gym_377_85_95,,,Expediente de la Condena del Bargantin español nombrado Juana Viviana apresado por el Bergantin particular el Águila de la republica de Colombia en 1825 ,Capitán del puerto de Sabanilla y comandante de la bahía,1825,"Expediente de la condena que recibió bergantín nombrado Juana Victoria por parte del Tribunal de Marina de la República de Colombia al ser apresado por el bergatín particular el Águila, en virtud de la ordenanza provicional de Corso.
El expediente contiene en orden de presentación los siguientes documentos: Pasaporte de Navegación, lista de tripulación, carta de sanidad, registro de Cargas, Declaración de Antonio Sarachaga capitán del Juana Victoria, Patente de Corso y juicio y condena. 
Contiene Itinerario de viaje y mercancías transportadas 
","Embarcaciones, Relaciones exteriores.","bergantín Español Juana Victoria, Bergantin Corsario el Aguila","Puerto Cabello, Venezuela",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 377, 85-95",AGN_SR_GYM_377_85_95,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_377_85_95.pdf,,,agn_sr_gym_377_85_95,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 377, 85-95",Expediente de la Condena del Bargantin español nombrado Juana Viviana apresado por el Bergantin particular el Águila de la republica de Colombia en 1825 ,1825,1826,Unidad Documental Compuesta ,27 folios en pdf,Colombia. Archivo General de la Nación,,,,"Expediente de la condena que recibió bergantín nombrado Juana Victoria por parte del Tribunal de Marina de la República de Colombia al ser apresado por el bergatín particular el Águila, en virtud de la ordenanza provicional de Corso.
El expediente contiene en orden de presentación los siguientes documentos: Pasaporte de Navegación, lista de tripulación, carta de sanidad, registro de Cargas, Declaración de Antonio Sarachaga capitán del Juana Victoria, Patente de Corso y juicio y condena. 
Contiene Itinerario de viaje y mercancías transportadas 
","Puerto Cabello, Venezuela","Embarcaciones, Relaciones exteriores.","bergantín Español Juana Victoria, Bergantin Corsario el Aguila",,Español,,Archivo General de la Nación de Colombia,Juan Diego Suarez,ISAG (G),29/09/2023
agn_sr_gym_377_108_116,agn_sr_gym_377_108_116,,,Testimonios ofrecidos por el fiscal y el ministro de guerra y marina en la sentencia a varios piratas por crimenes cometidos. ,Comandancia del departamento de Marina de Puerto Cabello,1826,"Testimonios ofrecidos por el fiscal y el comandante general del segundo Departamento de Marina en una revisión exhaustiva folio por folio del expediente que contiene las sentencias dadas a varios piratas, siendo estos: Julián Ibarra, José Eulario Monasterio, Tomas Cadenas, Vicente Herrada, José Tomas Gil y Domingo Gonzales libradas por el Tribunal de Marina del segundo despacho. 
Los piratas fueron juzgados por asesinato junto con sus cómplices. El documento evidencia las declaraciones que dieron los testigos, incluyendo a tres mujeres. Evidencia además, los nombres de las personas asesinadas en el asalto de la Piragua. Asimismo, señala las leyes que usaron para juzgar el crimen siendo estas las leyes de partida, reglamento de corso y ordenanzas navales. 
","Crimen, Corso, Ordenanzas navales.",Piragua ,"Puerto Cabello, Venezuela",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 377, 108-116",AGN_SR_GYM_377_108_116,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_377_108_116.pdf,,,agn_sr_gym_377_108_116,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 377, 108-116",Testimonios ofrecidos por el fiscal y el ministro de guerra y marina en la sentencia a varios piratas por crimenes cometidos. ,1826,1826,Unidad documental simple,20 folios en pdf,Colombia. Archivo General de la Nación,,,,"Testimonios ofrecidos por el fiscal y el comandante general del segundo Departamento de Marina en una revisión exhaustiva folio por folio del expediente que contiene las sentencias dadas a varios piratas, siendo estos: Julián Ibarra, José Eulario Monasterio, Tomas Cadenas, Vicente Herrada, José Tomas Gil y Domingo Gonzales libradas por el Tribunal de Marina del segundo despacho. 
Los piratas fueron juzgados por asesinato junto con sus cómplices. El documento evidencia las declaraciones que dieron los testigos, incluyendo a tres mujeres. Evidencia además, los nombres de las personas asesinadas en el asalto de la Piragua. Asimismo, señala las leyes que usaron para juzgar el crimen siendo estas las leyes de partida, reglamento de corso y ordenanzas navales. 
","Puerto Cabello, Venezuela","Crimen, Corso, Ordenanzas navales.",Piragua ,,Español,,Archivo General de la Nación de Colombia,Meliza Pinzón,ISAG (G),15/09/23
agn_sr_gym_328_212_291,agn_sr_gym_328_212_291,,,Comunicaciones del Comisionado Jose Antonio Muñoz a Francisco de Paula Santander sobre la compra y gestion de Buques y articulos de guerra para la flota del pacifico,Comandancia de Marina de Maracaibo,1820,"Comunicaciones y contratas del Comisionado ante el gobierno de Chile Jose Antonio Muñoz a Francisco de Paula Santander sobre la compra y gestion de buques y articulos de guerra para la flota del Pacifico.
Las comunicacione incluyen cartas, informes, testimonios, actas de compra y contratas sobre las actividades del gobierno de Chile y el ejercito libertador, sus números y actuaciones; la exención de derechos para artículos de guerra, la campaña de Guayaquil y la adquisición de buques de guerra.

","Contratas, Embarcaciones, Campaña de independencia, Relaciones exteriores","Fragata Los Andes, Bergantin Anna, Fragata consecuencia, Fragata argentina, Fragata Santa Rosa, Navio General San Martin, Fragata O'Higgins, Fragata Lautaro, Corbeta Independencia, Bergantín Araucano, Bergantín Puirredon, Goleta Motesuma ,Fragata Prueba ,Fragata Esmeralda y Fragata Venganza
","Santiago de Chile, Chile
Buenaventura, Colombia
Valparaiso, Chile
Guayaquil, Ecuador
Cali, Colombia
Bogotá, Colombia",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 212-291",AGN_SR_GYM_328_212_291,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_328_212_291.pdf,,,agn_sr_gym_328_212_291,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 212-291",Comunicaciones del Comisionado Jose Antonio Muñoz a Francisco de Paula Santander sobre la compra y gestion de Buques y articulos de guerra para la flota del pacifico,1820,1821,Unidad Documental Compuesta,105 folios en pdf,Colombia. Archivo General de la Nación,,,,"Comunicaciones y contratas del Comisionado ante el gobierno de Chile Jose Antonio Muñoz a Francisco de Paula Santander sobre la compra y gestion de buques y articulos de guerra para la flota del Pacifico.
Las comunicacione incluyen cartas, informes, testimonios, actas de compra y contratas sobre las actividades del gobierno de Chile y el ejercito libertador, sus números y actuaciones; la exención de derechos para artículos de guerra, la campaña de Guayaquil y la adquisición de buques de guerra.

","Santiago de Chile, Chile
Buenaventura, Colombia
Valparaiso, Chile
Guayaquil, Ecuador
Cali, Colombia
Bogotá, Colombia","Contratas, Embarcaciones, Campaña de independencia, Relaciones exteriores","Fragata Los Andes, Bergantin Anna, Fragata consecuencia, Fragata argentina, Fragata Santa Rosa, Navio General San Martin, Fragata O'Higgins, Fragata Lautaro, Corbeta Independencia, Bergantín Araucano, Bergantín Puirredon, Goleta Motesuma ,Fragata Prueba ,Fragata Esmeralda y Fragata Venganza
",,Español,,Archivo General de la Nación de Colombia,Juan Diego Suarez,ISAG (G),25/10/23
agn_sr_gym_328_88_171,agn_sr_gym_328_88_171,,,"Comunicaciones de Luis Brion, almirante de la República al ministro de guerra y marina sobre el arribo de Luis Aury, comandante en jefe de las fuerzas de mar y tierra de los Estados Unidos de Chile y Buenos Aires al puerto de Sabanilla. ",Comandancia de marina del tercer departamento,15/11/1820,"Comunicaciones de Luis Brion, almirante de la república y general en jefe de los ejércitos al ministro del interior del Despacho de Marina y al presidente libertador sobre el arribo de Luis Aury (comandante en jefe de las fuerzas de mar y tierra de los Estados Unidos de Chile y Buenos Aires) con buques de guerra al puerto de Sabanilla con la bandera de Buenos Aires. 
Señala las medidas que tomó Luis Brion respecto a Luis Aury por ilegitimidad de la bandera que representa y su navegación ilícita en las costas de la República de Colombia. Muestra el seguimiento dado al apresamiento de la Goleta Diana por la Perla Oriental, corsario de la República de Venezuela por orden de Brion, y los reclamos de restitución por parte de Aury ante el Congreso Nacional de Venezuela. 
Contiene índice y documentos que presentó Aury en defensa de su caso siendo estas: copias certificadas de las cartas de los capitanes de las embarcaciones apresadas, cartas al Consejo de Guerra y reclamaciones hacia Brion. El documento contiene además, una lista de tarifas de los derechos que debían pagarse en la entrada del puerto de Santa Marta, registro de los buques extranjeros en la capitanía del puerto y el derecho que pagaban tanto extranjeros como nacionales por concepto de fragata, goleta o balandra, y carga en toneladas. Contiene informes del capitán y comandante del puerto (Bonifacio de Revilla) sobre entradas de embarcaciones, actividades de pesca e inconvenientes en el ejercicio de su cargo. Contiene folios en frances. 
","Embarcaciones, Relaciones exteriores, Entrada y salida de buques, corsarios, pesca, derechos de puerto.","Bergantin Santa Belona, Goleta Diana, la Perla Oriental, Bergantin Golta, entre otras.","Santa Marta, Colombia",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 88-171",AGN_SR_GYM_328_88_171,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_328_88_171.pdf,,,agn_sr_gym_328_88_171,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 88-171","Comunicaciones de Luis Brion, almirante de la República al ministro de guerra y marina sobre el arribo de Luis Aury, comandante en jefe de las fuerzas de mar y tierra de los Estados Unidos de Chile y Buenos Aires al puerto de Sabanilla. ",15/11/1820,30/03/1821,Unidad documental compuesta,102 folios en pdf,Colombia. Archivo General de la Nación,,,,"Comunicaciones de Luis Brion, almirante de la república y general en jefe de los ejércitos al ministro del interior del Despacho de Marina y al presidente libertador sobre el arribo de Luis Aury (comandante en jefe de las fuerzas de mar y tierra de los Estados Unidos de Chile y Buenos Aires) con buques de guerra al puerto de Sabanilla con la bandera de Buenos Aires. 
Señala las medidas que tomó Luis Brion respecto a Luis Aury por ilegitimidad de la bandera que representa y su navegación ilícita en las costas de la República de Colombia. Muestra el seguimiento dado al apresamiento de la Goleta Diana por la Perla Oriental, corsario de la República de Venezuela por orden de Brion, y los reclamos de restitución por parte de Aury ante el Congreso Nacional de Venezuela. 
Contiene índice y documentos que presentó Aury en defensa de su caso siendo estas: copias certificadas de las cartas de los capitanes de las embarcaciones apresadas, cartas al Consejo de Guerra y reclamaciones hacia Brion. El documento contiene además, una lista de tarifas de los derechos que debían pagarse en la entrada del puerto de Santa Marta, registro de los buques extranjeros en la capitanía del puerto y el derecho que pagaban tanto extranjeros como nacionales por concepto de fragata, goleta o balandra, y carga en toneladas. Contiene informes del capitán y comandante del puerto (Bonifacio de Revilla) sobre entradas de embarcaciones, actividades de pesca e inconvenientes en el ejercicio de su cargo. Contiene folios en frances. 
","Santa Marta, Colombia","Embarcaciones, Relaciones exteriores, Entrada y salida de buques, corsarios, pesca, derechos de puerto.","Bergantin Santa Belona, Goleta Diana, la Perla Oriental, Bergantin Golta, entre otras.",,Español,,Archivo General de la Nación de Colombia,Meliza Pinzón,ISAG (G),13-14/09/23
agn_sr_gym_328_293_329,agn_sr_gym_328_293_329,,,"Comunicaciones, contratas y Cuentas de la secretaria de Guerra y Marina y la republica de Colombia",Comandancia de Marina (2 departamento),1820,"Comunicaciones, contratas y cuentas de la secretaria de Guerra y Marina y la republica de Colombia. 
Contiene cartas, contratas, cuentase  inventarios sobre la labor del comisionado ante el gobierno de Chile Jose Antonio Muñoz  sobre la compra y gestion de buques y articulos de guerra para la flota del Pacifico, una carta de J.M Vergara sobre el estado de Europa y la revolución en España así como de las publicaciones de libros y otras obras, un acta, en inglés y español, del compromiso del vicepresidente de Colombia José Antonio Zea y los acreedores de esta William Graham, Charles Herberg y Jonh Diston, y una obligacion de deuda impresa, en inglés, por 100 libras para pagar en 5 años de la república de Colombia a Francis Corbaux.","Libros, embarcaciones, relaciones exteriores, comercio","Corbeta Alejandro, Bergantin Ana y Bergantín Potrillo","Cali, Colombia
Londres, inglaterra
Bogotá, Colombia
Valparaiso, Chile
Guayaqil, Ecuador",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 293-329",AGN_SR_GYM_328_293_329,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_328_293_329.pdf,,,agn_sr_gym_328_293_329,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 293-329","Comunicaciones, contratas y Cuentas de la secretaria de Guerra y Marina y la republica de Colombia",1820,1821,Unidad Documental Compuesta,46 folios en pdf,Colombia. Archivo General de la Nación,,,,"Comunicaciones, contratas y cuentas de la secretaria de Guerra y Marina y la republica de Colombia. 
Contiene cartas, contratas, cuentase  inventarios sobre la labor del comisionado ante el gobierno de Chile Jose Antonio Muñoz  sobre la compra y gestion de buques y articulos de guerra para la flota del Pacifico, una carta de J.M Vergara sobre el estado de Europa y la revolución en España así como de las publicaciones de libros y otras obras, un acta, en inglés y español, del compromiso del vicepresidente de Colombia José Antonio Zea y los acreedores de esta William Graham, Charles Herberg y Jonh Diston, y una obligacion de deuda impresa, en inglés, por 100 libras para pagar en 5 años de la república de Colombia a Francis Corbaux.","Cali, Colombia
Londres, inglaterra
Bogotá, Colombia
Valparaiso, Chile
Guayaqil, Ecuador","Libros, embarcaciones, relaciones exteriores, comercio","Corbeta Alejandro, Bergantin Ana y Bergantín Potrillo",,Español,,Archivo General de la Nación de Colombia,Juan Diego Suarez Meza,ISAG (G),26/10/2023
agn_sr_gym_328_161_201,agn_sr_gym_328_161_201,,,Comunicaciones del almirante de la república Luis Brion al ministro de guerra y marina sobre construcción de lanchas cañoneras y aumento de fuerza maritima.,Comandancia de marina del segundo departamento,02/01/1821,"Comunicaciones de Luis Brion, almirante de la República y general en jefe de los ejércitos al ministro de guerra y marina y al presidente libertador sobre la necesidad de construir una fuerza de lanchas y cañoneras de quilla para su servicio en alta mar y en las costas, así como también la construcción de una artillería, muelles y almacenes. Brion expone la carencia de fuerza marítima del Río Magdalena, los vientos que soplan en él y sus posibilidades de navegación, así como también el aprovisionamiento de maderas y el costo de transportación. 
Menciona además, la necesidad de construir buques y galeras similares a las utilizadas por los Estados Unidos durante su enfrentamiento con los ingleses. Por otra parte, el documento contiene una lista de la oficialidad y tripulación a bordo de varios bergantines, goletas y faluchos, así como también un inventario de los materiales de artillería de cada embarcación y su condición. Asimismo, contiene quejas por parte de matriculados a la marina sobre apresamientos por parte de milicianos, así como de pescadores asaltados por soldados (informes de Bonifacio Revilla hacia Luis Brion), y la necesidad de alistamiento de matriculas al servicio del Estado, así como un informe exhaustivo de los bergantines y goletas en los que se evidencia su procedencia, estructura, fines y necesidades. Por último, contiene el caso de apresamiento de una fragata  por parte de un corsario español, y concesiones de patentes de corso para promover armamentos particulares y destruir así el comercio enemigo. ","Embarcaciones, Comercio, Relaciones exteriores, Pesca.","Bergantín Goleta de guerra Diana, Goleta de guerra Mariana, Bergantín corsario el Congreso, Goleta Josefina y Goleta Granadina, Goleta Venezuela, Boyaca, Espartana, Cundinamarca, Bombarda Cotopaje
Balandra Correo número uno, Corsario la Resurreción, Goleta Psyche. 
","Santa Marta, Colombia; Maracaibo, Venezuela.",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 161-201",AGN_SR_GYM_328_161_201,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_328_161_201.pdf,,,agn_sr_gym_328_161_201,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 328, 161-201",Comunicaciones del almirante de la república Luis Brion al ministro de guerra y marina sobre construcción de lanchas cañoneras y aumento de fuerza maritima.,02/01/1821,07/07/1821,Unidad documental compuesta,55 folios en pdf,,,,,"Comunicaciones de Luis Brion, almirante de la República y general en jefe de los ejércitos al ministro de guerra y marina y al presidente libertador sobre la necesidad de construir una fuerza de lanchas y cañoneras de quilla para su servicio en alta mar y en las costas, así como también la construcción de una artillería, muelles y almacenes. Brion expone la carencia de fuerza marítima del Río Magdalena, los vientos que soplan en él y sus posibilidades de navegación, así como también el aprovisionamiento de maderas y el costo de transportación. 
Menciona además, la necesidad de construir buques y galeras similares a las utilizadas por los Estados Unidos durante su enfrentamiento con los ingleses. Por otra parte, el documento contiene una lista de la oficialidad y tripulación a bordo de varios bergantines, goletas y faluchos, así como también un inventario de los materiales de artillería de cada embarcación y su condición. Asimismo, contiene quejas por parte de matriculados a la marina sobre apresamientos por parte de milicianos, así como de pescadores asaltados por soldados (informes de Bonifacio Revilla hacia Luis Brion), y la necesidad de alistamiento de matriculas al servicio del Estado, así como un informe exhaustivo de los bergantines y goletas en los que se evidencia su procedencia, estructura, fines y necesidades. Por último, contiene el caso de apresamiento de una fragata  por parte de un corsario español, y concesiones de patentes de corso para promover armamentos particulares y destruir así el comercio enemigo. ","Santa Marta, Colombia; Maracaibo, Venezuela.","Embarcaciones, Comercio, Relaciones exteriores, Pesca.","Bergantín Goleta de guerra Diana, Goleta de guerra Mariana, Bergantín corsario el Congreso, Goleta Josefina y Goleta Granadina, Goleta Venezuela, Boyaca, Espartana, Cundinamarca, Bombarda Cotopaje
Balandra Correo número uno, Corsario la Resurreción, Goleta Psyche. 
",,Español,,Archivo General de la Nación de Colombia,Meliza Pinzón,ISAG (G),18/09/23
agn_sr_gym_323_138_156,agn_sr_gym_323_138_156,,,Contratas de pintura y herreria en los barcos celebradas con el apostadero de la marina de Cartagena de Indias ,Comandancia de marina del segundo departamento,1807,"Expediente sobre las contratas de pintura y herreria celebradas con el Apostadero de la Marina de Cartagena de Indias entre los años de 1807 y 1818 
Contiene los siguientes documentos: Obligación para pintar embarcaciones con sus precios a cargo del maestro pintor Manuel Paredes (1807), Lista de avalúos particulares (1807-1809), escritura de fianza; copia; orden, certificación; remate; diligencia y adición de contrata de herreria con sus encargos y precios dada a Andrés Romero por el apostadero de la marina (1817) y acta de la junta de marina sobre adiciones a la contrata dada a Andrés Romero y sus precios (1818)
","Artesanos, herreria, pintura, apostadero de la marina, reparacion a embarcaciones",,"Cartagena de Indias, Colombia",,,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 323, 138-156",AGN_SR_GYM_323_138_156,Image;StillImage,application/pdf,spa,Public domain,,pdf,/objects/agn_sr_gym_323_138_156.pdf,,,agn_sr_gym_323_138_156,"CO. AGN. Sección República. Secretaría de Guerra y Marina, 323, 138-156",Contratas de pintura y herreria en los barcos celebradas con el apostadero de la marina de Cartagena de Indias ,1807,1818,Unidad Documental Compuesta,35 folios en pdf,,,,,"Expediente sobre las contratas de pintura y herreria celebradas con el Apostadero de la Marina de Cartagena de Indias entre los años de 1807 y 1818 
Contiene los siguientes documentos: Obligación para pintar embarcaciones con sus precios a cargo del maestro pintor Manuel Paredes (1807), Lista de avalúos particulares (1807-1809), escritura de fianza; copia; orden, certificación; remate; diligencia y adición de contrata de herreria con sus encargos y precios dada a Andrés Romero por el apostadero de la marina (1817) y acta de la junta de marina sobre adiciones a la contrata dada a Andrés Romero y sus precios (1818)
","Cartagena de Indias, Colombia","Artesanos, herreria, pintura, apostadero de la marina, reparacion a embarcaciones",,,Español,,Archivo General de la Nación de Colombia,Juan Diego Suarez Meza,ISAG (G),29/09/2023
